,Boris Becker,Stefan Edberg,Jim Courier,Pete Sampras,Andre Agassi,Thomas Muster,Marcelo Rios,Carlos Moya,Yevgeny Kafelnikov,Patrick Rafter,Marat Safin,Gustavo Kuerten,Lleyton Hewitt,Juan Carlos Ferrero,Andy Roddick,Roger Federer,Rafael Nadal,Novak Djokovic,Andy Murray
Boris Becker,-0.2,0.33,-0.1,0,0,0.5,0.5,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Stefan Edberg,0.67,-0.2,0,-0.1,-0.1,1,1,1,-0.1,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Jim Courier,-0.1,1,-0.2,0.67,0.6,0.6,0,-0.1,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Pete Sampras,1,-0.1,0.33,-0.2,0.4,1,1,-0.1,0.33,0,0,-0.1,-0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1
Andre Agassi,1,-0.1,0.4,0.6,-0.2,0.33,-0.1,1,1,0,0,-0.1,-0.1,0.5,1,-0.1,-0.1,-0.1,-0.1
Thomas Muster,0.5,0,0.4,0,0.67,-0.2,0.67,0.6,0.75,0,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Marcelo Rios,0.5,0,1,0,-0.1,0.33,-0.2,0.8,0,-0.1,0,0.67,0,0,-0.1,0,-0.1,-0.1,-0.1
Carlos Moya,-0.1,0,-0.1,-0.1,0,0.4,0.2,-0.2,0.5,1,0.75,0.67,0.67,0.38,-0.1,0,0.2,0.5,-0.1
Yevgeny Kafelnikov,-0.1,-0.1,0,0.67,0,0.25,1,0.5,-0.2,-0.1,1,0,1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Patrick Rafter,-0.1,0,-0.1,1,1,1,-0.1,0,-0.1,-0.2,-0.1,0,-0.1,-0.1,-0.1,1,-0.1,-0.1,-0.1
Marat Safin,-0.1,-0.1,-0.1,1,1,-0.1,1,0.25,0,-0.1,-0.2,0.5,0.67,0.43,-0.1,0,-0.1,-0.1,-0.1
Gustavo Kuerten,-0.1,-0.1,-0.1,-0.1,-0.1,1,0.33,0.33,1,1,0.5,-0.2,-0.1,0.5,-0.1,0.5,-0.1,-0.1,-0.1
Lleyton Hewitt,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1,0.33,0,-0.1,0.33,-0.1,-0.2,0,1,0,0,-0.1,-0.1
Juan Carlos Ferrero,-0.1,-0.1,-0.1,-0.1,0.5,-0.1,1,0.63,-0.1,-0.1,0.57,0.5,1,-0.2,-0.1,0.2,0.2,0.5,-0.1
Andy Roddick,-0.1,-0.1,-0.1,1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.2,0,-0.1,-0.1,-0.1
Roger Federer,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1,1,-0.1,0,1,0.5,1,0.8,1,-0.2,0.13,0.5,-0.1
Rafael Nadal,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.8,-0.1,-0.1,-0.1,-0.1,1,0.8,-0.1,0.87,-0.2,0.67,0.8
Novak Djokovic,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.5,-0.1,-0.1,-0.1,-0.1,-0.1,0.5,-0.1,0.5,0.33,-0.2,0.8
Andy Murray,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.2,0.2,-0.2