,% 1st serve return points won,% of 2nd serve return points won,% return games won,% break points converted
Boris Becker,0.34,0.50,0.28,0.39
Stefan Edberg,0.37,0.50,0.32,0.45
Jim Courier,0.35,0.53,0.32,0.44
Pete Sampras,0.32,0.48,0.25,0.40
Andre Agassi,0.36,0.55,0.35,0.45
Thomas Muster,0.36,0.57,0.37,0.47
Marcelo Rios,0.35,0.53,0.32,0.41
Carlos Moya,0.36,0.52,0.30,0.42
Yevgeny Kafelnikov,0.34,0.52,0.30,0.44
Patrick Rafter,0.33,0.48,0.23,0.37
Marat Safin,0.33,0.51,0.26,0.41
Gustavo Kuerten,0.35,0.52,0.31,0.43
Lleyton Hewitt,0.36,0.53,0.33,0.45
Juan Carlos Ferrero,0.36,0.54,0.34,0.42
Andy Roddick,0.31,0.50,0.24,0.38
Roger Federer,0.35,0.51,0.28,0.41
Rafael Nadal,0.40,0.58,0.43,0.49
Novak Djokovic,0.36,0.55,0.35,0.44
Andy Murray,0.36,0.54,0.34,0.44