,% of break points converted,% break points saved,% tie breaks won,% deciding sets won
Boris Becker,0.39,0.57,0.55,0.60
Stefan Edberg,0.45,0.63,0.57,0.64
Jim Courier,0.44,0.64,0.54,0.44
Pete Sampras,0.40,0.65,0.60,0.59
Andre Agassi,0.45,0.62,0.58,0.47
Thomas Muster,0.47,0.63,0.55,0.76
Marcelo Rios,0.41,0.60,0.61,0.65
Carlos Moya,0.42,0.62,0.58,0.64
Yevgeny Kafelnikov,0.44,0.59,0.56,0.63
Patrick Rafter,0.37,0.63,0.45,0.57
Marat Safin,0.41,0.62,0.49,0.50
Gustavo Kuerten,0.43,0.63,0.43,0.66
Lleyton Hewitt,0.45,0.59,0.54,0.54
Juan Carlos Ferrero,0.42,0.62,0.52,0.68
Andy Roddick,0.38,0.62,0.80,0.48
Roger Federer,0.41,0.65,0.59,0.66
Rafael Nadal,0.49,0.67,0.64,0.79
Novak Djokovic,0.44,0.62,0.65,0.75
Andy Murray,0.44,0.62,0.72,0.60